,Class,Accuracy
0,archery_adult,0.6499999761581421
1,bouncing on trampoline_adult,0.5333333611488342
2,bowling_adult,0.8048780560493469
3,cartwheeling_adult,0.1666666716337204
4,catching or throwing baseball_adult,0.1111111044883728
5,catching or throwing frisbee_adult,0.18518517911434174
6,catching or throwing softball_adult,0.28125
7,dribbling basketball_adult,0.22857142984867096
8,dunking basketball_adult,0.11428570747375488
9,hitting baseball_adult,0.5454545021057129
10,juggling soccer ball_adult,0.3225806653499603
11,kicking soccer ball_adult,0.125
12,parkour_adult,0.6071428060531616
13,playing badminton_adult,0.6585366129875183
14,playing basketball_adult,0.3125
15,playing cricket_adult,0.11764705926179886
16,playing tennis_adult,0.5531914830207825
17,playing volleyball_adult,0.7499999403953552
18,shooting basketball_adult,0.19354838132858276
19,somersaulting_adult,0.10000000149011612
20,water skiing_adult,0.9387754797935486
