,Class,Accuracy
0,archery_adult,0.7250000238418579
1,bouncing on trampoline_adult,0.5333333611488342
2,bowling_adult,0.8292682766914368
3,cartwheeling_adult,0.41666656732559204
4,catching or throwing baseball_adult,0.2222222089767456
5,catching or throwing frisbee_adult,0.18518519401550293
6,catching or throwing softball_adult,0.125
7,dribbling basketball_adult,0.514285683631897
8,dunking basketball_adult,0.25714290142059326
9,hitting baseball_adult,0.6969696879386902
10,juggling soccer ball_adult,0.35483869910240173
11,kicking soccer ball_adult,0.21875
12,parkour_adult,0.714285671710968
13,playing badminton_adult,0.6829268336296082
14,playing basketball_adult,0.3125
15,playing cricket_adult,0.3529411554336548
16,playing tennis_adult,0.5957447290420532
17,playing volleyball_adult,0.7954545021057129
18,shooting basketball_adult,0.32258060574531555
19,somersaulting_adult,0.30000001192092896
20,water skiing_adult,0.8979591131210327
